coragyps_atratus,ardea_alba,buteo_albicaudatus,gypohierax,harpya,milvago_chimachima,trigonoceps,aix,buteogallus,eudocimus,platalea,sarcorhamphus,vultur
PRT,PRT,OBS,PRT,APV,OBS,OBS,OBS,AUR,ECA,PRT,PRT,ACG
NAL,OBS,NAL,OBS,OBS,ACE,ACG,NAL,OBS,NAL,CBT,ACA,OBS
OBS,PRT,OBS,PRT,ACP,AST,OBS,OBS,PRT,SCL,SCL,PRT,ACA
ACE,AUR,CBA,OBS,OBS,NAL ,ACG,AUR,AST,APV,ACG,OBS,OBS
PRT,OBS,OBS,APV,LIT,AST,OBS,OBS,OBS,OBS,CBT,AST,ACA
CBA,PRT,CBA,OBS,OBS,OBS,PRT,AUR,AUR,SCL,OBS,AUR,OBS
OBS,OBS,NAL,NAL,,NAL,ECA,OBS,OBS,OBS,SCL,OBS,ACP
PRT,PRT,OBS,OBS,,OBS,ACP,AUR,CBA,SCL,ACG,ACD,ACA
ACG,AUR,APV,SCL,,NAL,NAL,OBS,OBS,APV,CBT,PRT,LIT
OBS,PRT,OBS,OBS,,OBS,OBS,AUR,AUR,NAL,SCL,ACE,OBS
AST,OBS,APV,ACG,,NAL,SCL,OBS,OBS,SCL,AUR,OBS,ACP
OBS,ACP,OBS,OBS,,OBS,OBS,AUR,PRT,NAL,CBT,PRT,OBS
AST,LIT,APV,ECA,,PRT,ACE,NAL,OBS,SCL,SCL,OBS,ACP
APV,OBS,OBS,CBA,,NAL,NAL,OBS,ACA,PRT,AUR,AUR,NAL
OBS,ACP,AUR,NAL,,OBS,OBS,AUR,OBS,OBS,PRT,OBS,OBS
ACE,ACA,OBS,OBS,,NAL,NAL,OBS,ACA,PRT,CBT,APV,ACE
OBS,ACP,NAL,NAL,,OBS,OBS,AUR,OBS,NAL,SCL,OBS,NAL
PRT,OBS,OBS,OBS,OBS,NAL,NAL,OBS,AST,OBS,PRT,LCD,OBS
OBS,ACP,CBA,NAL,ACE,OBS,OBS,AST,OBS,SCL,CBT,OBS,ACG
ACG,PRT,OBS,OBS,OBS,AUR,CBT,OBS,SAC,OBS,SCL,LCD,ACP
SCL,OBS,CBA,NAL,CBA,OBS,NAL,ACA,OBS,SCL,PRT,ACE,ACG
AST,ACG,OBS,OBS,OBS,NAL,OBS,OBS,CBA,ACG,CBT,PRT,OBS
OBS,PRT,CBA,SCL,AST,OBS,NAL,ACA,OBS,SCL,SCL,OBS,ACP
NAL,OBS,NAL,OBS,OBS,SAC,OBS,OBS,PRT,ACG,PRT,NAL,LIT
AST,PRT,OBS,NAL,AST,NAL,NAL,ACA,OBS,AUR,CBT,AUR,OBS
PRT,ACG,PRT,OBS,OBS,OBS,OBS,OBS,AST,SCL,SCL,PRT,EMA
AST,PRT,OBS,SCL,AST,NAL,CBT,ACA,OBS,AUR,APV,OBS,ACD
APV,ACA,LIT,OBS,OBS,OBS,NAL,OBS,AST,NAL,CBT,APV,OBS
PRT,OBS,OBS,SCL,AST,NAL,OBS,ACA,,SCL,OBS,OBS,ACP
APV,ACP,CBA,OBS,OBS,OBS,LIT,ACP,,AUR,SCL,APV,ACG
AST,OBS,OBS,SCL,ACP,AST,NAL,OBS,,OBS,ACP,OBS,ACP
PRT,PRT,NAL,OBS,OBS,NAL,CBA,PRT,,NAL,CBT,APV,OBS
AST,OBS,OBS,SCL,ACP,OBS,OBS,OBS,,OBS,SCL,OBS,ACP
APV,CBT,NAL,OBS,OBS,NAL,NAL,AUR,,NAL,AUR,,OBS
AUR,OBS,OBS,SCL,ACP,OBS,OBS,AST,,AUR,CBT,LIT,ACG
PRT,PRT,NAL,OBS,OBS,ACD,NAL,ACP,,SCL,SCL,OBS,ACD
OBS,OBS,OBS,SCL,ACP,OBS,APV,OBS,,ACG,OBS,LIT,OBS
PRT,AST,PRT,LCD,OBS,ACD,AUR,ACP,,OBS,SCL,ACA,AST
OBS,OBS,NAL,OBS,ACP,NAL,APV,ACG,,NAL,AUR,ACP,OBS
ACP,PRT,OBS,NAL,OBS,OBS,OBS,OBS,OBS,SCL,ACD,OBS,AST
OBS,ACG,PRT,OBS,ACP,NAL,NAL,ACG,AST,NAL,AST,PRT,OBS
ACP,PRT,NAL,SCL,OBS,OBS,OBS,OBS,OBS,SCL,CBT,AST,AST
OBS,OBS,OBS,OBS,ACP,NAL,APV,ACG,AST,ACP,SCL,OBS,OBS
PRT,ACP,AUR,PRT,OBS,OBS,NAL,OBS,OBS,OBS,AUR,NAL,AST
NAL,LIT,OBS,NAL,ACP,NAL,OBS,AUR,AST,ACP,CBT,AUR,ACD
OBS,OBS,ACP,APV,OBS,OBS,AST,OBS,OBS,SCL,SCL,OBS,AST
ACG,AST,OBS,NAL,ACA,CBA,OBS,AST,SCL,AST,ACG,AST,OBS
OBS,OBS,ACP,APV,OBS,NAL,ACD,AUR,ACG,OBS,OBS,OBS,AST
PRT,ACG,OBS,NAL,AUR,OBS,AST,OBS,OBS,SCL,CBT,AST,OBS
OBS,ACP,ACP,OBS,OBS,NAL,NAL,AUR,CBA,AST,SCL,OBS,ACP
NAL,OBS,OBS,SCL,AUR,OBS,OBS,OBS,OBS,NAL,AST,AST,ACA
OBS,ACG,PRT,OBS,OBS,ACE,ACD,AUR,AUR,OBS,CBT,LCD,OBS
PRT,PRT,OBS,NAL,AUR,AST,OBS,OBS,OBS,SCL,OBS,OBS,ACA
OBS,AST,PRT,OBS,OBS,NAL,PRT,AUR,ECA,AST,SCL,LCD,OBS
PRT,PRT,OBS,PRT,CBA,OBS,NAL,OBS,OBS,SCL,AST,ACD,ACP
OBS,AST,NAL,OBS,OBS,ACE,OBS,ECA,ECA,AUR,CBT,AST,ACA
ACA,AUR,OBS,PRT,ACP,AST,NAL,AUR,OBS,NAL,SCL,OBS,OBS
OBS,OBS,NAL,OBS,OBS,OBS,AST,OBS,ECA,SCL,AUR,LCD,ACA
